题目	答案
函数m(x,n) 计算并返回具有n个元素数组x中的最小元素的下标。请填空。int m(int *x,int n){int i=0,j;for(j=0;j<n;j++)if(x[j]<x[i])______;return i;}	(1) i=j
行下列语句后，输出结果为______。#include <iostream>using namespace std;int main(){int x=0,y=1,z=3;switch(x){case 0:switch(y){case 1:cout<<'*';case 2:cout<<'%';break;}case 1:switch(z){case 1:cout<<'$';break;case 2:cout<<'*';break;default:cout<<'#';}}system("pause");}	(1) *%#
#include <iostream>using namespace std;void main(){int m,i = 2;cout << "please input m:";cin >> m;while( i<=m )if( m % i == 0 ){cout << i;m = m / i;}elsei++;}以上程序运行时输入2 2 2 3 5，如下：please input m:2 2 2 3 5 则程序的执行结果是：__________________。	(1) 2
若有定义语句：int a=3,b=2,c=1;，则表达式a<b?a :b的值是______。	(1) 2
写出下列程序的执行结果是：__________________。#include  <iostream>using namespace std;void main(){int i = 1;while( i<=10 )if( ++i % 3 != 1 )continue;else{cout << i; if(i!=10) cout<<",";}}	(1) 4,7,10
C++语言中可以实现输出一个换行符并刷新流功能的操控符是____________。	(1) endl
//写出下列程序的执行结果是：__________________。#include<iostream>using namespace std;void main(){int i, s = 0;for( i=0; i<5; i++ )switch( i ){case 0:s += i;break;case 1:s += i;break;case 2:s += i;break;default:s += 2;}cout<<"s="<<s<<endl;}	(1) s=7
写出执行完下列程序段以后指定的变量的值：bool x=true,y=false,z=false;x=x&&y||z;y=x||y&&z;z=!(x!=y)||(y==z);则y=______。	(1) false
下面程序的功能是将形参x的值转换为二进制数，所得二进制数的每一位数放在一维数组y中返回，二进制的最低位放在放在下标为0的元素中。请填空。 void f(int x,int y[]) { int a=0,b; do { b=x%______; y[a++]=b; x/=2; }while(x); }	(1) 2
执行下列语句序列int x=10,&r=x;cout<<x<<'-'<<r<<endl;输出结果为_____。	(1) 10-10
有以下程序,程序运行后的输出结果是____。#include <iostream>using namespace std;struct abc{char c;float v;};void fun(abc &b){b.c='A';b.v=77.5;}void main(){abc a={'D',90};fun(a);cout<<a.c;}	(1) A
写出下列程序的执行结果是：__________________。#include <iostream>#include<iomanip>using namespace std;void main(){ int a=15;int &ra=a;int *pa=&a;cout<<dec<<a<<","<<oct<<ra<<","<<hex<<*pa<<endl;}	(1) 15,17,f
若有定义语句：int *a,b;，则变量b的数据类型是______。	(1) int
下面程序的执行结果是______。#include <iostream>#include <iomanip>using namespace std;void main(){cout<<setfill('x')<<setw(10);cout<<"Hello"<<endl;}	(1) xxxxxHello
写出下列程序的执行结果是：__________________#include  <iostream>using namespace std;void main(){int a = 1, b = 2;bool x, y;cout << (a++)+(++b) <<",";cout << a % b << ",";x = !(a>b);y = a-- && b;cout << x << ",";cout << y << endl;}	(1) 4,2,1,1
定义一个命名空间为myNum,在该命名空间中定义一个整型变量x,并给该变量赋值为105；使用C++新特性判断myNum命名空间下的变量是奇数还是偶数。#include <iostream>#include <stdlib.h>using namespace std;(1)     myNum            //填写命名空间的关键字{int x = 105;}int main(){// 使用bool类型定义isOdd，作为状态位(2）  isFlag = false;if(myNum::x % 2 == 0){//改变状态位的值，使其为falseisFlag= false;}else{//改变状态位的值，使其为trueisFlag= true;}// 判断状态位的值if(true){// 如果状态位的值为true，则打印变量x是奇数cout << "变量x是奇数" << endl;}else{// 如果状态位的值为false，则打印变量x是偶数cout << "变量x是偶数" << endl;}return 0;}	(1) namespace
在C++中，声明布尔类型变量所用的关键字是____________。	(1) bool
对于枚举类型的定义语句enum Color{Blue,Green=3,Black,White=6,Red};其中枚举常量Red的值为______。	(1) 7
下列程序的运行结果是____。#include <iostream>using namespace std;union{int i;char x[2];}a;void main(){a.x[0] = 10;a.x[1] = 1;cout<<a.i<<endl;}	(1) 266
下列语句的运行结果为____。#include<iostream>using namespace std;struct COMPLEX{int x;int y;} cNum[2]={1,3,2,7};void main(){cout<< cNum[0].y*cNum[1].x<<endl;}	(1) 6
下面程序的输出结果为_______________。#include <iostream.h>void main(){int num=2,i=6;do{i--; num++;}while(--i); cout<<num<<endl;}	(1) 5
行下列语句后，输出结果为______。int x=0,y=2,z=3;switch(x){case 0:switch(y){case 1:cout<<'*';break;case 2:cout<<'%';break;}case 1:switch(z){case 1:cout<<'$';break;case 2:cout<<'*';break;default:cout<<'#';}}	(1) %#
C++的流库预定义了4个流，它们是cin、cout、clog和_____________。	(1) cerr
_______指令指示编译器将一个源文件嵌入到带该指令的源文件之中。	(1) #include
请将下列程序按注释部分的要求补充完整。# include <iostream.h>void main(){int x=0x25;//在画线处填上语句，将变量x的值八进制输出(不能换行）__________________________}	(1) cout<<oct<<x
给出下面程序输出结果是：_______________。#include <math.h>#include <iostream.h>#include <iomanip.h>bool fun(long n);void main(){long a=10,b=30,l=0;if(a%2==0)a++;for(long m=a;m<=b;m+=2)if(fun(m)){if(l++%10==0)cout <<endl;cout <<setw(5) <<m;}}bool fun(long n){int sqrtm=(int)sqrt(n);for(int i=2;i<=sqrtm;i++)if(n%i==0)return false;return true;}	(1) 11 13 17 19 23 29
执行下列代码 int a=29，b=100； cout <<a<<b;则输出结果是。	(1) 29100
定义字符指针char *s="hello"，已知sizeof(s)=4，则strlen(s)=______。	(1) 5
#include  using namespace std; void main() { int x,i,j,k; cout << "please input x:"; cin >> x; i = x/100; j = x/10 %10; k = x%10; cout << k << j << i << endl; } 以上程序运行时输入123，如下： please input x:123 则程序的执行结果是：__________________。	(1) 321
写出下列程序的执行结果是：__________________。#include  <iostream>using namespace std;void main(){int a,b,c,d,x;a = c = 0; b = 1;d = 50;if( a )d = d-10;elseif( !b )if( !c )x = 15;elsex = 25;cout << d << endl;}	(1) 50
执行下列语句后，变量sum的值是______。int sum = 0;for (int i=1;i<=3;i++)for (int j=1;j<=i;j++)sum++;	(1) 6
有一种只在循环语句或switch 语句中使用的流程控制语句，表示该语句的关键字是______。	(1) break
运行下列程序段,输出结果是____。#include <iostream>using namespace std;struct country{int num;char name[20];}x[5]={1, "China", 2, "USA", 3, "France", 4, "England", 5, "Spanish"};void main(){struct country *p;p=x+2;cout<<p->num<<','<<x[0].name<<endl;}	(1) 3,China
#include <iostream>using namespace std;void main(){ int a,b,c,temp,min;cout << "please input a,b,c:";cin >> a >> b >> c;temp = ( a<b ) ? a:b;min = ( temp<c ) ? temp:c;cout << "min=" << min << endl;}以上程序运行时输入3 1 2，如下：please input a,b,c:3 1 2则程序的执行结果是：__________________。	(1) min=1
执行下列代码int b=100；cout<<"Hex："<<hex<<b；程序的输出结果是______________。	(1) Hex:64
下列函数的功能是判断字符串str是否对称，对称则返回true，否则返回false。请在横线处填写上适当的内容，实现该函数。bool fun(char *str){int i=0,j=0;while(str[j]) j++;for(j--;i<j&&str[i]==str[j];i++,j--);return i______j;}	(1) >=
写出下列程序的执行结果是：__________________。#include<iostream>using namespace std;int main(){ int i,a,b,c;for( i=150; i<=155; i++ ){  a = i/100;b = ( i-a*100 ) / 10;c = i - a*100 - b*10;if ( i == a*a*a + b*b*b + c*c*c ) cout << i <<endl;}}	(1) 153
C++中，一个float类型的变量占______个字节。	(1) 4
请将下列程序按注释部分的要求补充完整。# include <iostream.h>void main(){int x=25;//在画线处填上语句，将变量x的值分别以十六进制输出(不能换行）___________________}	(1) cout<<hex<<x
设有定义语句：int a=12;，则表达式a*=2+3的运算结果是______。	(1) 60
有下列代码int a=0；double b=0；cin>>a>>b；当用键盘输入1.25时，b=____________。	(1) 0.25
表达式8&3的结果是______。	(1) 0
#include <iostream>using namespace std;void main(){union{ /* 定义一个联合 */int i;struct{ /* 在联合中定义一个结构 */char first;char second;}half;}number;number.i=0x4241; /* 联合成员赋值 */cout<<number.half.first<<number.half.second<<endl;number.half.first='a'; /* 联合中结构成员赋值 */number.half.second='b';cout<<number.i<<endl;}	(1) AB25185
请将下列程序按注释部分的要求补充完整。#include <iostream.h>int main(){char name[20];cout<<”Hello,your name:”;//在下画线处填上语句，完成将字符串输入到数组name中____________cout<<name;return 0;}	(1) cin>>name
C++中预定义标准输入流对象是______。	(1) cin
写出下列程序的执行结果是：__________________。#include<iostream>using namespace std;void main(){int i,j;for( i=1, j=5; i<j; i++ ){j--;}cout<<i<<","<<j<<endl;}	(1) 3,3
写出下列程序的执行结果是：__________________。#include <iostream>using namespace std;void main(){int i;for( i=100; i<=200; i++ ){if ( ( i % 3 == 2) && ( i % 5 == 3 ) && ( i % 7 == 2 ) )cout << i << endl;}}	(1) 128
写出下列程序的执行结果是：__________________。#include <iostream>using namespace std;void main(){int i, j, x = 0;for( i=0; i<=3; i++ ){x++;for( j=0; j<=3; j++ ){if( j % 2 )continue;x++;}x++;}cout << "x=" << x << endl;}	(1) x=16
写出下列程序的执行结果是：__________________。#include  <iostream>using namespace std;void main(){int x,y,z,f;x = y = z = 1;f = --x || y-- && z++;cout << "x = " << x <<",";cout << "y = " << y <<",";cout << "z = " << z <<",";cout << "f = " << f << endl;}	(1) x = 0,y = 0,z = 2,f = 1
有以下程序,程序运行后的输出结果是____。#include <iostream>using namespace std;struct S{int a,b;}data[2]={10,100,20,200};void main(){S p=data[1];++(p.a);cout<< p.a;}	(1) 21
#include  using namespace std; int main() { cout<<"Hello!"; } 这个程序的输出结果是______。	(1) Hello!
运行下列程序,输出结果是____。#include <iostream>using namespace std;void main(){union example{struct{int x;int y;}in;int a;int b;}e;e.a=1;e.b=2;e.in.x=e.a*e.b;e.in.y=e.a+e.b;cout<<e.in.x<<" "<<e.in.y<<endl;}	(1) 4 8
若使用标准输出流把整型变量a的值输出到屏幕上，实现此操作的C++语句是__________。	(1) cout<<a
C++程序经过编辑、编译、（       ）步骤之后才能形成一个真正可执行的二进制机器指令文件。	(1) 连接
-56（10）的八位二进制补码为______________。	(1) 11001000
每个对象都是所属类的一个_________________。	(1) 实例
255（10）转换为二进制为______________。	(1) 11111111
C++源程序文件的扩展名是（）	(1) CPP
C++语言源程序经（      ）后生成后缀为obj的目标程序。	(1) 编译
写出下面程序的执行结果：#include <iostream>#include <iomanip>#include <string>using namespace std;int main() {double values[] = { 1.23, 35.36};string names[] = { "Zoot", "Jimmy"};for (int i = 0; i < 2; i++)cout << setw(6) << names[i] << setw(10) << values[i] << endl;return 0;}	(1)   Zoot      1.23 Jimmy     35.36
写出下面程序的执行结果：#include <iostream>#include <fstream>#include <cstring>using namespace std;struct SalaryInfo {unsigned id;double salary;};int main() {SalaryInfo employee1 = { 600001, 8000 };ofstream os("payroll", ios_base::out | ios_base::binary);os.write(reinterpret_cast<char *>(&employee1), sizeof(employee1));os.close();ifstream is("payroll", ios_base::in | ios_base::binary);if (is) {SalaryInfo employee2;is.read(reinterpret_cast<char *>(&employee2), sizeof(employee2));cout << employee2.id << " " << employee2.salary << endl;} else {cout << "ERROR: Cannot open file 'payroll'." << endl;}is.close();return 0;}	(1) 600001 8000
已知int DBL(int n){return n+n;}和long DBL(Long n){return n+n;} 是一个函数模板的两个实例，则该函数模板的定义是______。	(1) template T DBL(T n){return n+n
写出下列程序的执行结果是：__________________。#include <iostream>using namespace std;template <typename T>class Base{public:Base( T i , T j ){x = i;  y = j;}T sum(){return x + y;}private:T x , y;} ;void main(){Base<double> obj2(3.3,5.5);cout << obj2.sum() <<",";Base<int> obj1(3,5);cout << obj1.sum() << endl;}	(1) 8.8,8
通过键盘输入：Type \t字符串后，请写出下面程序的执行结果：#include <iostream>#include <string>using namespace std;int main() {string line;getline(cin, line, 't');cout << line << endl;return 0;}	(1) Type \
如下函数的作用是以双倍行距输出文件：void double_space(ifstream& f, ofstream& t){char c;while(______){______;if(c=='\n')t.put(c);}}下划线处应填入的内容是______。	(1) f.get(c)
写出下列程序的执行结果是：__________________。#include <iostream>using namespace std;template <typename T>double average( T *array,int size ){T sum = 0;for( int i=0; i<size; i++ )sum += array[i];return sum / size;}void main(){int a[] = { 1, 2, 3, 4, 5, 6, 7, 8, 9, 10 };double b[] = { 1.1, 2.2, 3.3, 4.4, 5.5, 6.6, 7.7, 8.8, 9.9, 10 };cout << "Average of array a:" << average( a,10 ) << ";";cout << "Average of array b:" << average( b,10 ) << endl;}	(1) Average of array a:5
写出下面程序的执行结果：#include <iostream>#include <iomanip>#include <string>using namespace std;int main() {double values[] = { 1.23, 35.36};string names[] = { "Zoot", "Jimmy"};cout<<setprecision(6)<<3466.9768<<endl;cout<<scientific<<setprecision(6)<<dec<<3466.9768<<endl;for (int i=0;i<2;i++)cout << setiosflags(ios_base::left)<< setw(6) << names[i]<< resetiosflags(ios_base::left)<< setw(10) << setprecision(1) << values[i] << endl;return 0;}	(1) 3466.983.466977e+003Zoot    1.2e+000Jimmy   3.5e+001
写出下列程序的执行结果是：__________________。#include <iostream>using namespace std;template <typename T>void fun( T &x, T &y ){T temp;temp = x;  x = y;  y = temp;}void main(){int i , j;i = 10;j = 20;fun( i, j );cout << "i=" << i << "," << "j=" << j << ",";double a , b;a = 1.1;b = 2.2;fun( a, b );cout << "a=" << a <<","<< "b=" << b << endl;}	(1) i=20,j=10,a=2.2,b=1.1
写出下面程序的执行结果：#include <iostream>#include <cmath>#include <iomanip>using namespace std;int main(){int x; double a;cout << "x   sin(x)    cos(x)" << endl;     //输出表头for( x=10; x<20; x+=10 ){a = x * 3.14 / 180;cout << setw(3) << setiosflags( ios::left );cout << setiosflags( ios::fixed );cout << setprecision(5);cout << x;cout << setw(10) << sin(a);cout << setw(10) << cos(a)<<endl;}}	(1) x   sin(x)    cos(x)10 0.17356   0.98482
下列程序运行结果为______。#include<iostream>using namespace std;class S{public:~S( ){cout<<"S"<< "\t";}};char fun0(){S s1;throw( 'T');return     '0';}int main(){try{cout<<fun0()<< "\t";}catch(char c){cout<<c<< "\t";}return 0;}	(1) S T
在下划线处填上缺少的部分。源程序如下：#include  <iostream>using namespace std;template<class T>T fun(T x){_________________ y;y=x*x-T(5);return y;}void main(){float a=2;cout<<fun(a);}	(1) T
写出下列程序的执行结果：#include <iostream>#include <sstream>#include <string>#include <stdexcept>//处理异常;using namespace std;istream &f(istream &in) {//不能拷贝IO对象, 不能将形参或返回类型设置为流类型;//进行IO操作的函数通常以引用方式传递和返回值;string v;while (in >> v, !in.eof()) {//直到遇到文件结束符才停止读取;if (in.bad()) {//不可恢复的错误, IO流崩溃;throw runtime_error("IO流错误");//抛出异常;}if (in.fail()) {//可以恢复的错误;//比如输入类型不匹配;cerr << "数据错误, 请重试: " << endl;in.clear();//将in中所有条件状态位复位, 将流的状态设置为有效, 返回void;//恢复正常;in.ignore(100, '\n');//读取并忽略最多100个字符, 包括'\n';continue;}cout << v << endl;}in.clear();return in;//返回引用;}//读写一个IO对象会改变其状态, 因此传递和返回的引用不能是const的;int main() {ios::sync_with_stdio(false);cin.tie(NULL);ostringstream msg;//字符串输出流;//向string写入数据;msg << "C++ Primer" << endl;istringstream in(msg.str());//strm.str() : 返回strm所保存的string拷贝;f(in);return 0;}	(1) C++Primer
写出下面程序的执行结果：#include <iostream>#include <sstream>#include <string>using namespace std;template <class T>inline string toString(const T &v) {ostringstream os;os << v;return os.str();}int main() {string str1 = toString(5);cout << str1 << endl;string str2 = toString(1.2);cout << str2 << endl;return 0;}	(1) 51.2
以下函数模板max的功能是：返回数组a中最大元素的值。请将横线处缺失部分补充完整。template<typename T> T max(T a[],int n){T m=a[0];for(int i=1;i<n;i++)if(a[i]>m)//缺失部分;return m;}	(1) m=a[i]；
写出下面程序的执行结果：#include <iostream>#include <iomanip>#include <string>using namespace std;int main() {double values[] = { 1.23, 35.36};string names[] = { "Zoot", "Jimmy"};for (int i=0;i<2;i++)cout << setiosflags(ios_base::left)<< setw(6) << names[i]<< resetiosflags(ios_base::left)<< setw(10) << values[i] << endl;return 0;}	(1) Zoot        1.23Jimmy      35.36
写出程序运行结果。#include <iostream >using namespace std;int a[10]= {1,2, 3, 4, 5, 6, 7, 8, 9, 10};int fun( int i);int main(){int i ,s=0;for(i=0; i<=10; i++){try{s=s+fun(i);}catch(int){cout<< "数组下标越界!"<<endl;}}cout<<"s="<<s<<endl;return 0;}int fun(int i){if(i>=10) throw i;return a[i];}	(1) 数组下标越界!s=55
写出程序的运行结果：#include <iostream.h>#include <iomanip.h>void main(){double amount = 33.0/9;int number = 248;cout<<amount<<endl;cout<<setprecision(1)<<amount<<endl<<setprecision(2)<<amount<<endl<<setprecision(3)<<amount<<endl<<setprecision(4)<<amount<<endl;cout<<setiosflags(ios::fixed);cout<<setprecision(8)<<amount<<endl;cout<<"Dec:"<<dec<<number<<endl<<"Hex:"<<hex<<number<<endl<<"Oct:"<<oct<<number<<endl;}	(1) 3.6666743.73.673.6673.66666667Dec:248Hex:f8Oct:370
写出以下程序的运行结果：#include <iostream >using namespace std;void f();class T{public:T(){cout<<"constrictor"<<endl;try{throw "exception";}catch(char *){cout<<"exception"<<endl;}throw "exception";}~T(){cout<<"destructor";}};void main(){cout<<"main function"<<endl;try{f();}catch(char *){cout<<"exception2"<<endl;}cout<<"main function"<<endl;}void f(){T t;}	(1) main functionconstrictorexceptionexception2main function
Staff类含有int型数据成员ID，两个Staff对象相等是指它们的ID相同。下面的函数重载了运算符==，它用来判断两个Staff对象是否相等，相等时返回true，否则返回false。请将横线处缺失部分补充完整。 bool Staff::operator==(const Staff&s) { ________________ ;  return ( ); }	(1) ID==s.ID
写出程序运行结果:____________#include <iostream.h>class B{public:B( ){cout<<"CONS_B"<<endl;}};class V: public B{public:~V( ){cout<<"DES_V"<<endl;}};class X: virtual public V{public:X( ){cout<<"CONS_X"<<endl;}~X( ){cout<<"DES_X"<<endl;}};class Y: virtual public V{public:Y( ){cout<<"CONS_Y"<<endl;}};class W : public Y, public X//继承顺序不同 调用构造函数的顺序就不同{public:~W( ){cout<<"DES_W"<<endl;}};class Z : public W{public:~Z( ){cout<<"DES_Z"<<endl;}};void main(){Z obj;}	(1) CONS_BCONS_YCONS_XDES_ZDES_WDES_XDES_V
写出程序运行结果:_________#include <iostream>using namespace std;class T{public :T(){a = 0;b = 0;c = 0;}T( int i, int j, int k ){a = i;b =j;c = k;}void get( int &i, int &j, int &k ){i = a;j = b;k = c;}T operator* ( T obj );private:int a , b , c;};T T::operator* ( T obj ){T tempobj;tempobj.a = a * obj.a;tempobj.b = b * obj.b;tempobj.c = c * obj.c;return tempobj;}int main(){T obj1( 1,2,3 ), obj2( 5,5,5 ), obj3;int a , b , c;obj3 = obj1 * obj2;obj3.get( a, b, c );cout<<"( obj1*obj2 ):"<<"a = "<<a<<'\t'<<"b = "<<b<<'\t'<<"c = "<<c<<'\t'<<endl;(obj2*obj3).get( a, b, c );cout<<"( obj2*obj3 ):"<<"a = "<<a<<'\t'<<"b = "<<b<<'\t'<<"c = "<<c<<'\t'<<endl;}	(1) ( obj1*obj2 ):a = 5     b = 10  c = 15( obj2*obj3 ):a = 25    b = 50  c = 75
重载加法运算符"+"，其函数名是______。	(1) operator +
写出程序运行结果:_________#include<iostream>#include<cmath>using namespace std;class Fun{//被积函数,抽象类public:virtual double fun(double x)=0;//被积函数声明为纯虚函数};class Integer{//积分函数，抽象类protected:double result,a,b,step;//Intevalue积分值，a积分下限，b积分上限int n;public:virtual void Integrate()=0;Integer(double ra=0,double rb=0,int nn=2000){a=ra;b=rb;n=nn;step=(b-a)/n;result=0;}void Print(){cout.precision(3);cout<<"积分值="<<result<<endl;}};class SIN_Rect:public Integer,public Fun{//求sin积分，采用矩形积分法public:SIN_Rect(double ra,double rb,int nn):Integer(ra,rb,nn){}double fun(double x){return sin(x);}void Integrate(){int i;for(i=0;i<=n;i++) result+=fun(a+step*i);result*=step;}};class EXP_Simpson:public Integer,public Fun{//求exp积分，采用Simpson积分法public:EXP_Simpson(double ra,double rb,int nn):Integer(ra,rb,nn){}double fun(double x){return sin(x);}void Integrate(){int i;result=fun(a)+fun(b);for(i=1;i<n;i+=2) result+=4*fun(a+step*i);for(i=2;i<n;i+=2) result+=2*fun(a+step*i);result*=step/3;}};int main(){Integer *Inp;SIN_Rect s_r(0,3.1415926,1000);EXP_Simpson e_s(0,1,1000);Inp=&s_r;Inp->Integrate();Inp->Print();Inp=&e_s;Inp->Integrate();Inp->Print();return 0;}	(1) 积分值=2积分值=0.46
写出下列程序的执行结果是：__________________。#include <iostream>using namespace std;class Bclass{public:Bclass( int i, int j ) { x = i; y = j; }virtual int fun() { return 0 ; }protected:int x, y ;};class Iclass:public Bclass{public :Iclass(int i, int j, int k):Bclass(i, j) { z = k; }int fun() { return ( x + y + z ) / 3; }private :int z ;};void main(){Iclass obj( 2, 4, 10 );Bclass p1 = obj;cout << p1.fun() <<",";Bclass &p2 = obj ;cout << p2.fun() <<",";cout << p2.Bclass :: fun() <<",";Bclass *p3 = &obj;cout << p3 -> fun() << endl;}	(1) 0,5,0,5
静态联编所支持的多态性称为___________的多态性。	(1) 编译时
下面是复数类complex的定义，其中重载的运算符"+"的功能是返回一个新的复数对象，其实部等于两个操作对象实部之和，其虚部等于两个操作对象虚部之和；请补充完整：class complex{double real ; //实部double imag ; //虚部public :complex(double r ,double i):real(r),imag(i){}complex operator+(complex a ){return complex( ______ );}};	(1) real+a.real,imag+a.imag
写出下列程序的执行结果是：__________________。#include <iostream.h>class Vector{public:Vector(){ }Vector(int i,int j){ x = i ; y = j ;}friend Vector operator+ ( Vector v1, Vector v2 ){Vector tempVector ;tempVector.x = v1.x + v2.x ;tempVector.y = v1.y + v2.y ;return  tempVector ;}void display(){ cout << "(" << x << "," <<y<< ")"<< endl ; }private:int x , y ;};void main(){Vector v1( 1, 2 ), v2( 3, 4 ), v3 ;v3 = v1 + v2 ;v3.display() ;}	(1) (4,6)
程序运行结果_________.#include<iostream.h>class A{int a,b;public:A(int i, int j){a=i;b=j;}void  Move(int x, int y){a+=x;b+=y;}void  Show( ){cout<<"("<<a<<","<<b<<")"<<endl;}};class B : public  A{int x, y;public:B(int i, int j, int k, int l) : A(i, j){x=k;y=l;}};void main( ){A  a(1, 2);B  b(3, 4, 5, 6);b.Move(7, 8);b.Show( );}	(1) (10,12)
在下划线处填上缺少的部分。#include<iostream>#include<fstream>using namespace std；class complex{public：int real；int imag；complex(int r=0，int i=0){real=r；imag=i；}}；complex operator+( ________________________，complex& b){int r=a.real+b.real；int i=a.imag+b.imag；return  complex(r,i)；}void main( ){complex x(1，2)，y(3，4)，z；z=x+y；cout<<z.real<<″+″<<z.imag<<″i″<<endl；}	(1) complex&a
下列程序的输出结果是______。#include<iostream>using namespace std;class base{public:int n;base(int x) { n=x;}virtual void set(int m) { n=m;cout<<n<<' ';}};class deriveA:public base{public:deriveA(int x):base(x){ }void set(int m){ n+=m;cout<<n<<' ';}};class deriveB:public base{public:deriveB(int x):base(x){ }void set(int m) { n+=m;cout<<n<<' ';}};int main(){deriveA d1(1);deriveB d2(3);base *pbase;pbase=&d1;pbase->set(1);pbase=&d2;pbase->set(2);return 0;}	(1) 2 5
写出程序运行结果:_________#include <iostream.h>class A{protected:int ia;public:A(int j){ia=j;cout<<"A"<<ia<<endl;}};class B: public A{protected:int ib;public:B(int j, int k) : A(k){ib=j;cout<<"B"<<ib<<endl;}};class M{protected:int im;public:    M(int j){im=j;cout<<"M"<<im<<endl;}};class C: B{protected:int  ic;M  objm;public:C(int j, int k, int m, int n) : B(k, n),objm(m){ic=j;cout<<"C"<<ic<<endl;}};void main ( ){C    objc(1, 2, 3, 4);}	(1) A4B2M3C1
写出程序运行结果:_________#include<iostream.h>const float PI = 3.14;class Base{public:virtual void area(){cout<<"Base 中无实在面积输出！"<<endl;}};class Triangle:public Base{public:Triangle(float w,float h){width = w;height = h;}void area(){cout<<"三角形的底为:"<<width<<endl<<"高为:"<<height<<endl<<"面积为:"<<width*height/2<<endl;}private:float width,height;};class Circle:public Base{public:Circle(float r){radius = r;}void area(){cout<<"圆形的半径为:"<<radius<<endl<<"面积为:"<<PI*radius*radius<<endl;}private:float radius;};int main(){Base * p;Triangle obj1(2.0,3.0); Circle obj2(1.0);p= &obj1; p->area(); p=&obj2;p->area(); return 0;}	(1) 三角形的底为:2高为:3面积为:3圆形的半径为:1面积为:3.14
C++语言中的多态性分为编译时的多态性和______时的多态性。	(1) 运行
写出下列程序的执行结果是：__________________。#include <iostream>using namespace std;class T{public :T() { a = 0; b = 0; c = 0; }T( int i, int j, int k ){ a = i; b =j; c = k; }void get( int &i, int &j, int &k ){ i = a; j = b; k = c; }T operator* ( T obj );private:int a , b , c;};T T::operator* ( T obj ){T tempobj;tempobj.a = a * obj.a;tempobj.b = b * obj.b;tempobj.c = c * obj.c;return tempobj;}void main(){T obj1( 1,2,3 ), obj2( 5,5,5 ), obj3;int a , b , c;obj3 = obj1 * obj2;obj3.get( a, b, c );cout<<"(obj1*obj2):"<<"a="<<a<<","<<"b="<<b<<","<<"c="<<c<<endl;}	(1) (obj1*obj2):a=5,b=10,c=15
写出程序运行结果:_________#include<iostream>#include<string>using namespace std;class Vehicle{public:virtual void showinfo()=0;protected:char Name[20];};class Car:public Vehicle{public:Car(char *name){strcpy(Name,name);}void showinfo(){cout<<Name<<endl;}protected:int Radius;};class Truck:public Vehicle{public:Truck(char *name){strcpy(Name,name);}void showinfo(){cout<<Name<<endl;}};class Boat:public Vehicle{public:Boat(char *name){strcpy(Name,name);}void showinfo(){cout<<Name<<endl;}};int main(){Vehicle *vp;Car car("奔驰");Truck truck("运输卡车");Boat boat("游艇");vp=&car;vp->showinfo();vp=&truck;vp->showinfo();vp=&boat;vp->showinfo();return 0;}	(1) 奔驰运输卡车游艇
在MyClass类的定义中，对赋值运算符=进行重载。请将画线处缺失的部分补充完整。______ MyClass::operator=(const MyClass& rhs){if(this==&rhs) return *this;value=rhs.value;return *this;}	(1) MyClass&
写出程序运行结果:_________#include<iostream>using namespace std;class A{public:virtual void func( ){cout<<"func in class A"<<endl;}};class B{public:virtual void func( ){cout<<"func in class B"<<endl;}};class C:public A,public B{public:void func( ){cout<<"func in class C"<<endl;}};int main( ){C c;A& pa=c;B& pb=c;C& pc=c;pa.func( );pb.func( );pc.func( );}	(1) func in class Cfunc in class Cfunc in class C
写出程序运行结果:_________#include <iostream>using namespace std;class Real{private:double a;public:Real (double r=0){a=r;}Real operator +(Real);Real operator -(Real);Real operator *(Real);Real operator /(Real);Real operator =(Real);void display(){cout<<a<<endl;}};Real Real::operator+(Real x){Real temp;if(a+x.a<-1.7e308||a+x.a>1.7e308){cout<<"Data overflow!"<<endl;abort();}temp.a=a+x.a;return temp;}Real Real::operator-(Real x){Real temp;if(a-x.a<-1.7e308||a-x.a>1.7e308){cout<<"Data overflow!"<<endl;abort();}temp.a=a-x.a;return temp;}Real Real::operator*(Real x){Real temp;if(a*x.a<-1.7e308||a*x.a>1.7e308){cout<<"Data overflow!"<<endl;abort();}temp.a=a*x.a;return temp;}Real  Real::operator/(Real x){Real temp;if(a/x.a<-1.7e308||a/x.a>1.7e308){cout<<"Data overflow!"<<endl;abort();}temp.a=a/x.a;return temp;}Real Real::operator=(Real x){a=x.a;return *this;}int main(){Real A(1.1),B(1.2),C;cout<<"A=";A.display();cout<<"B=";B.display();C=A+B;cout<<"C=A+B="; C.display();C=A-B;cout<<"C=A-B="; C.display();C=A*B;cout<<"C=A*B="; C.display();C=A/B;cout<<"C=A/B="; C.display();}	(1) A=90B=30C=A+B=120C=A-B=60C=A*B=2700C=A/B=3
下列程序的输出结果为2，请将程序补充完整。#include <iostream>using namespace std;class Base{public:______ void fun(){cout<<1;}};class Derived:public Base{public:void fun(){cout<<2;}};int main(){Base *p=new Derived;p->fun();delete p;return 0;}	(1) virtual
